Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.59460894199208E-06,-0.0518541242943915,0.0707524439532293,0,0,0,2.54057824915809,0.0119278433510999,2.53728691698407E-06,-1.78967325504066E-06,0.0098953813407589,-4.06461716940698E-05,0.0157390414681249,0,0,0,0,0,0,package://800x动态+3D/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://800x动态+3D/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sjz_Link,-3.88921734859492E-18,-4.05592017536571E-18,-1.76220149583628E-13,0,0,0,6.16991118430775,0.127674683719094,-7.59830845466528E-19,3.61400724161835E-19,0.122818489228901,1.92926087828083E-18,0.013568583470577,0,0,0,0,0,0,package://800x动态+3D/meshes/sjz_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/sjz_Link.STL,,sjz-1,sjz,sjzz,sjz,prismatic,0,0.074,0.238500000000176,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
body_Link,-4.39274676130276E-06,-0.00685028460808341,-0.00996056040875309,0,0,0,2.50617766897065,0.016456103135019,-9.00244331830387E-07,-2.57774015927154E-06,0.0243639936582225,-0.000449921492136935,0.0121266364019571,0,0,0,0,0,0,package://800x动态+3D/meshes/body_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://800x动态+3D/meshes/body_Link.STL,,body-1,body,bodyj,body,prismatic,0,0,0.16569068211343,0,0,0,sjz_Link,0,0,-1,0,0,0,0,,,,,,,,
bozi_Link,0.0011803108694428,-5.94985547543307E-05,-0.000369283533422915,0,0,0,0.0737634080051074,6.1051672047394E-05,2.57948950892097E-08,1.69399631648418E-07,4.08796590897945E-05,-1.12269951563914E-06,3.38371289159199E-05,0,0,0,0,0,0,package://800x动态+3D/meshes/bozi_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://800x动态+3D/meshes/bozi_Link.STL,,bozi-1,bozi,bozij,bozi,revolute,0,0,0.216117399906545,0,0,0,body_Link,0,-0.154142632932922,-0.988048606452388,0,0,0,0,,,,,,,,
head_Link,-1.36568256169034E-05,0.0147326786262126,0.0196202848164096,0,0,0,1.10477693770058,0.00294498820573951,-3.17718032594166E-07,2.42769381937814E-07,0.00602675921677274,0.000250057279568271,0.00714962575985435,0,0,0,0,0,0,package://800x动态+3D/meshes/head_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/head_Link.STL,,head-1,head,headj,head,revolute,0,0.0104395325309457,0.066917019476225,0,0,0,bozi_Link,1,0,0,0,0,0,0,,,,,,,,
3d_Link,-0.000246575946070463,-0.00944476789714171,0.00900048123993957,0,0,0,0.0447624128553249,3.94543942675652E-06,-1.74357051429678E-07,1.71629714070888E-07,2.73143508101051E-05,4.21845203564803E-08,2.73202913797448E-05,0,0,0,0,0,0,package://800x动态+3D/meshes/3d_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/3d_Link.STL,,IntelRealsense_D435_Multibody0603-1,3D,headj,3d,fixed,0,0.11514,-0.027462,0,0,0,head_Link,0,0,0,,,,,,,,,,,,
J1L_Link,-0.0253049100764646,0.000114621370885358,0.0435626862020836,0,0,0,0.259920806447113,0.000282465948424463,-2.22182733048416E-07,7.04950279528202E-05,0.000443788221448472,-5.85353102195125E-07,0.00027871016384376,0,0,0,0,0,0,package://800x动态+3D/meshes/J1L_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J1L_Link.STL,,J1L-1,J1L,J1LJ,J1L,revolute,-0.113583009912262,0,0.142481652109722,0,-1.36135681655558,0,body_Link,0,0,-1,0,0,0,0,,,,,,,,
J2L_Link,2.88820646521248E-06,-0.0534187558923963,0.00161217053312421,0,0,0,0.156443993862735,0.000327609883963481,-2.48211081161368E-08,2.96312968505484E-08,0.000265299472098655,1.98302976089175E-05,0.00033182822625866,0,0,0,0,0,0,package://800x动态+3D/meshes/J2L_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J2L_Link.STL,,J2-L-1,J2L,J2LJ,J2L,revolute,-0.0404819124273659,-0.000268025950260972,0.068100000000094,1.56417554190849,1.5707963267949,0,J1L_Link,0,0,-1,0,0,0,0,,,,,,,,
J3L_Link,-0.000990232465384988,-0.0171033072372646,0.131021324056683,0,0,0,0.307016045556258,0.000446407279709254,9.22723249707306E-07,-1.14770552054764E-06,0.00040754946954576,-5.73881418563608E-06,0.000450444868272704,0,0,0,0,0,0,package://800x动态+3D/meshes/J3L_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J3L_Link.STL,,J3-L-1,J3L,J3LJ,J3L,revolute,0,-0.106199904473329,0,1.5707963267949,-0.00140728006057626,0,J2L_Link,0,0,1,0,0,0,0,,,,,,,,
L4L_Link,-0.0886599818533644,0.0428762485756458,-0.000454053424786049,0,0,0,0.305134873797452,0.000444491598372779,-1.44575564012256E-05,7.37119569534595E-07,0.000273649342472376,6.73436874683826E-07,0.0002708606189249,0,0,0,0,0,0,package://800x动态+3D/meshes/L4L_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://800x动态+3D/meshes/L4L_Link.STL,,J4-L-1,J4L,J4LJ,L4L,revolute,-5.62911838439262E-05,-0.0399999603912641,0.199435015547135,1.5707963267949,1.5641755419088,1.56938904673432,J3L_Link,0,0,-1,0,0,0,0,,,,,,,,
